,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
10,0001086222-18-000010,AKAMAI,20180206,2018-02-06,8-K,break bridge claims closure closures collapse conciliation cut defer delay difficult disclaim disclaims disgorge disgorgement divest divestiture divestitures doubt doubtful easing erred fail failure fined force ill impair impairment impairments inability investigation lack lapse late lie loss losses lying miss negative negatively plea pleas pled poses quit restructuring sue sued threat weak weaken,anticipate anticipates approximate approximately assumption assumptions believe believes contingent differ differs doubt doubtful fluctuation fluctuations hidden intangible may revise revised unusual varies vary varying,able achieve achieved benefit best confident easier efficiency enable enhance enhances exceptional gain gains great greater improve improvement improvements innovation leadership pleased resolve satisfy strong success superior unparalleled win
11,0001086222-15-000173,AKAMAI,20151027,2015-10-27,8-K,break bridge claims collapse conciliation cut defer delay difficult disclaim disclaims divest divested divestiture easing erred fail failure force ill impair impairment inability investigation lack lapse late lie loss losses lying miss negative negatively plea pleas poses quit restructuring sue sued weak weaken,anticipate anticipates approximate approximately assumption assumptions believe believes contingent differ differs fluctuation fluctuations hidden intangible may unusual varies vary varying,able benefit enable enhance enhances gain gains great greater innovation opportunities pleased revolutionizing satisfy strong win
12,0001193125-11-282007,AKAMAI,20111026,2011-10-26,8-K,against breach break bridge cancel cancelled cease ceases challenging claiming claims closed closing closure complain complaint complaints concern conciliation conflict conflicts critical cut damage damages defer delay denigrate derogatory deter disclaim disclaims disclose disclosed discourage dishonest dishonesty disparaging dispose doubt doubtful easing erred fail failure false fined fines force forced forfeit forfeited fraud ill illegal impair inability invalid invalidity lack late lie limitation limitations lose losing loss losses lying misconduct miss negligence omission omissions plea pleas pled poses prevents prosecution quit resign resignation resigned resigns restructuring revocation revoke sever subpoena sue sued suing terminate terminated termination terminations unfunded unsatisfactory wrong wrongdoing,ambiguity anticipate anticipated anticipates approximate approximately believe conditional conditionally contingencies could differ doubt doubtful intangible may might pending risk risks vary,able benefit best better confident effective enabling excellence gain gaining gains good great greater innovation leadership leading opportunities opportunity pleased satisfactory satisfied satisfy strength strengthen strong success unmatched win
13,0001086222-16-000396,AKAMAI,20161110,2016-11-10,8-K,absence accident adverse adversely against alleging annoy annoyance annul arrears bail bankrupt bankruptcy breach breached breaches breaching break breakdown breakdowns bridge broken burden cancel cancellation cease ceases claiming claims closed closing closure closures collapse complain concealed concern condemn condemnation condemned confess confession conflict conflicts contesting contrary corrected correcting correction counterclaim crime cut damage damaged damages danger dangerous deface default defaulted defaults defect defective defects defend defer deficiency delay delayed delays delinquent demise demised demises demising demolish demolished demolishing demolition denial denied depleting deprive deprived destruction deter difficult difficulties diminish diminished disagree disagrees disappear disappearance disapproval disapprove disapproved disapproves disclaim disclaims disclose disclosed discontinue discontinued dismiss dismissed dispose dispossess dispossessed dispute disputed disputes disregard disregarding disrupt disruption dissolution disturb disturbance doubt easing encumber encumbered encumbering encumbers endanger endangered erred erring error errors evict eviction exculpation exonerate fail failed failing fails failure failures fault faulted faults fined fines fired force forced foreclosure forego forfeit forfeited fraud harm hazard hazardous ill illegal illegible impair impaired impairing impermissible improper inability inaction incapacity incident incomplete inconsistencies inconsistent inconvenience inconveniences injunction injure injury inquiry insolvency insolvent insufficiency insufficient intentional interfere interference interfering interrupt interruption invalid invalidate involuntarily involuntary jeopardize knowingly lack lag lapse lapsed late lie limitation limitations liquidate liquidated liquidation liquidator liquidators litigation lockout lockouts lose losing loss losses lying misappropriation misconduct miss missed misuse monopolistic negative neglect negligence negligent nuisance nullification objecting objection objectionable objections obscene obsolescence obsolete obstruct omission omissions omit omitted overage overages overload overloads overpaid overpayment overpayments overstate overstated overstatement penalties penalty pled poses prejudice prevention prevents prosecute prosecuted prosecutes prosecuting prosecution protest punitive question quit redress refusal refuse refused refusing reject rejecting rejection rejects reparation restate sever shut shutting solvency stoppage stops strain strained sue sued sues suffer suffered susceptible suspend suspended taint terminate terminated terminating termination terminations threat threaten threatened threatening unable unavailable underpaid underpayment underpayments undisclosed undue uneconomic unnecessary unoccupied unpaid unperformed unreasonable unreasonably unsafe unsuitable violate violation voided wrong wrongful wrongfully,alteration alterations ambiguity anticipate anticipated anticipates appear appears approximate approximately assume assumed assumes assuming assumption assumptions believe believes conditional conditionally contingencies contingent could depend dependent depending differ doubt fluctuating hidden may might nearly pending possible preliminary recalculate recalculated revise revised risk risks sometime sometimes tending uncertain uncertainties uncertainty unusual variable variables vary,able accomplish accomplished achieve achieved achievement achieves achieving adequately assure benefit best better boost charitable collaborate conclusive conclusively confident constructive desired despite diligent diligently effective efficiency efficient enabling enhance enhancement enjoy enjoyment exclusive exclusively gain gains good great greater improve improvement improvements integrity opportunity progress resolve satisfaction satisfactory satisfied satisfies satisfy succeed succeeding succeeds success successful superior valuable win
14,0001193125-09-158136,AKAMAI,20090729,2009-07-29,8-K,break bridge challenging claims closed concern conciliation cut defer delay difficult disclaim disclaims disclose disclosed discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may vary,able advantage advantages benefit better collaborate gain gaining gains good leading positive satisfy strength strong succeed superior win
15,0001193125-08-161346,AKAMAI,20080730,2008-07-30,8-K,break bridge challenging claims closed concern conciliation cut defer delay deter deteriorating disclaim disclaims disclose disclosed discourage disrupt doubt doubtful easing erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may roughly vary,able benefit better collaborate gain gained gaining gains good improve improvement leading satisfy strength succeed win
16,0001193125-10-169028,AKAMAI,20100728,2010-07-28,8-K,break bridge challenging claims closed closing concern conciliation cut defer delay deter disclaim disclaims disclose disclosed discourage disrupt divest doubt doubtful erred fail failure fined fines ill inability intentional lack late lie limitation limitations lose losing loss losses miss overage plea pleas poses quit resign resignation resigns restructuring sever sue sued suing terminate terminated terminates termination unauthorized,anticipate anticipated anticipates approximate approximately believe could differ doubt doubtful intangible may vary,able achieve achieved achievement attain attainment benefit better collaborate effective efficient enable gain gaining gains good great greater improve improvement leading pleased positive satisfy strength strong success win
17,0001542567-14-000024,AKAMAI,20141029,2014-10-29,8-K,break bridge claims collapse conciliation cut defer delay difficult disclaim disclaims divest divestiture divestitures doubt doubtful easing erred fail failure force ill impair impairment inability lack lapse late lie loss losses lying miss plea pleas pled poses quit restructuring sue sued,anticipate anticipates approximate approximately assumption assumptions believe believes contingent differ doubt doubtful hidden intangible may unusual varies vary varying,able benefit better enabling gain gains great greater innovation innovative leading opportunities satisfy strong unmatched win
18,0001086222-19-000030,AKAMAI,20190212,2019-02-12,8-K,break bridge challenge challenges claims collapse conciliation cut defer delay difficult disclaim disclaims divest divestiture divestitures doubt doubtful easing erred fail failure fined force ill impair impairment inability investigation lack lapse late lie lose loss losses lying miss negative negatively plea pleas poses quit reassign reassigned restate restated restructuring sue sued threat threats weak weaken,anticipate anticipates assumption assumptions believe believes contingent differ differs doubt doubtful fluctuation fluctuations hidden intangible may nearly revise revised unusual varies vary varying,able accomplish accomplished achieve achieved achieving advantage benefit benefiting delight delighted effective enable enhance enhances excellence gain gains great greater improve improvement innovation leadership pleased profitable satisfy strong succeed unmatched win
19,0001542567-14-000018,AKAMAI,20140730,2014-07-30,8-K,break bridge claims collapse conciliation cut defer delay difficult disclaim disclaims divest divestiture divestitures doubt doubtful easing erred fail failure force ill impair impairment inability lack lapse late lie loss losses lying miss plea pleas pled poses quit restructuring sue sued,anticipate anticipates approximate approximately assumption assumptions believe believes contingent differ doubt doubtful hidden intangible may unusual varies vary varying,able benefit better enabling excellent gain gains great greater innovation leading opportunities satisfy strong unmatched win
20,0001266432-14-000018,AKAMAI,20140206,2014-02-06,8-K,against break bridge closing collapse cut deter forego ill lapse late lie losing miss quit sue sued,fluctuation fluctuations hidden,able achieve achievement effective gain gains satisfy win
21,0001193125-12-314409,AKAMAI,20120725,2012-07-25,8-K,break bridge challenging claims closed conciliation cut delay disclaim disclaims disclose disclosed discourage doubt doubtful easing erred fail failure fines ill inability lack late lie limitation limitations lose loss losses miss plea pleas pled poses quit restructuring sue sued,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may vary,able benefit better enabling gain gaining gains good great greater improve improvement improvements innovation leading satisfy strength strong unmatched win
22,0001086222-17-000014,AKAMAI,20170207,2017-02-07,8-K,break bridge claims collapse conciliation cut defer delay difficult disclaim disclaims disgorge disgorgement divest divestiture divestitures easing erred fail failure force ill impair impairment inability investigation lack lapse late lie loss losses lying miss negative negatively plea pleas poses quit restructuring sue sued weak weaken,anticipate anticipates approximate approximately assumption assumptions believe believes contingent differ differs fluctuation fluctuations hidden intangible may unusual varies vary varying,able benefit enable enhance enhances gain gains great greater innovation opportunities optimistic pleased resolve revolutionizing satisfy strong success win
23,0001086222-18-000061,AKAMAI,20180309,2018-03-09,8-K,adverse against bad bankrupt bankruptcy breach breaching break bridge cease claims closed closing closure closures collapse concern conciliation conflict conflicting conflicts contrary controversy counterclaim counterclaims cut damage damages decline defame defames default defeat delay delist delisted deny deprive deter difficult diminish disclaim disclose disclosed disclosing disparage disparagement disparages dispose dispute disputes disqualify disqualifying dissolution divest divestiture doubt encumbrance erred fail fails failure fault fined force forego fraud fraudulent ill impair impede improper inability inconsistent inconvenient insolvency insufficient intentional invalid investigation knowingly lack lapse late lie limitation liquidation litigation lose loses losing loss losses lying mislead misleading miss moratorium penalty plea plead pleas pled poses posing postpone postponement postponements prejudice purport purported question quit refuse refuses reject rejected reparation resign resignation resigns restructuring sever slander slanders solvency standstill subjecting subpoena sue sued sues terminate terminates termination threat threaten threatened unable undermining unpredictability unpredictable unreasonable violate,ambiguities approximate approximately believe conditional conditionally contingencies could depend dependence dependent differ doubt fluctuate hidden imprecise intangible may possible predict predictability revise revised unpredictability unpredictable unusual,able achieve achievement achieving assure beneficial beneficially benefit best collaborative confident easier effective efficiencies efficiency empower empowered enable encouragement encouraging excellence exceptional excited exclusive gain gains good highest improve improvement innovation leadership leading opportunities opportunity pleased progress satisfaction satisfied satisfies satisfy satisfying strong success successful superior unparalleled valuable win
24,0001193125-11-010221,AKAMAI,20110119,2011-01-19,8-K,absenteeism adverse against breach break bridge cease ceases claiming claims closed closing conflict conflicts crime cut damage damages defer deter dishonest dishonesty dispose dissolution erred excessive fail fails failure fined force forced forfeit forfeited fraud harm ill impair invalid invalidity lapse lapsed late lie limitation liquidation lose losing loss losses misconduct miss negative negligence negligent omission omit omitted pled poses quit refusal restructuring serious sever sue sued terminate terminated termination terminations unfunded unsatisfactory violation violations,ambiguity differ intangible may,able achieve achievement achieves benefit effective enable gain gains good great greater satisfactory satisfied satisfy success win
25,0001266432-12-000038,AKAMAI,20120518,2012-05-18,8-K,break bridge collapse cut ill lapse lie miss,depend dependent hidden,able gain gains satisfy win
26,0001266432-13-000108,AKAMAI,20131113,2013-11-13,8-K,break bridge closure collapse cut easing ill lapse lie plea pleas pled,believe hidden nearly,able effective enabling exciting honor honored innovation leadership leading opportunity satisfy strong success unmatched win
27,0001193125-14-060700,AKAMAI,20140220,2014-02-20,8-K,absence accident accidents acquiesce adverse adversely against annul annulment arrears bad bankrupt bankruptcy breach break bridge cancel canceled cancellation cancellations cancelled catastrophe catastrophes cease ceased ceases ceasing challenge challenged claims closed closing closure concern concerns conflict contrary controversy cut damage damages default defect defend defending deficit delay denied depress destroy destroyed destruction deter diminish disclose disclosing discontinue discontinued dismiss dismissed dispose dispute disregard disregarded dissolution disturb disturbance disturbances doubt easing erred erring error evade expose fail fails failure fault faulted faults fined force forced forego forfeit forfeited fraud fraudulent grossly harm hinder hindrance ill illegal illegality impair impaired impede impracticable impractical incapable inconsistency inconsistent inconvenient incorrect injunction inquiry insolvency insolvent insufficient intentional interrupt interruption interruptions invalid investigate investigating investigation involuntary lapse lapsed late laundering lie limitation limitations liquidate liquidated liquidation liquidator litigant lose losing loss losses lost lying malfunction malfunctions manipulate misconduct mismatch mismatches miss missed moratorium negative neglect neglected negligence negligent nonpayment objection omission omissions omit omits omitted omitting overdue penalty plaintiff plea plead pled poses posing postpone postponed postponement preclude prejudice prejudicial prosecute punitive purport purported question quit refuse refused renegotiate reparation resign resignation resigning revoke sever solvency stolen stoppage stoppages sue sued sues suffer suing suspension terminate terminated termination terminations threat threaten threatened unable unavailable unduly unpaid unreasonable unreasonably unrest unwilling usury violate violation volatility,alteration ambiguity apparent appear appearing appears approximate approximately assume assumed assumes assuming assumption assumptions believe believed believes conditional conditionally contingency contingent could depend dependent differ doubt exposure hidden likelihood may might nearly pending possible preliminary risk risks variable variation variations volatility,able advances advantage beneficial beneficially benefit best better conclusive conclusively confident constructive constructively desirable despite effective empower empowered enable exclusive exclusively gain gains good great greater satisfaction satisfactory satisfied satisfies satisfy succeed succeeding success win
28,0001266432-13-000040,AKAMAI,20130416,2013-04-16,8-K,break bridge collapse cut lapse lie miss resign resigning,hidden,able effective satisfy win
29,0001086222-18-000103,AKAMAI,20180515,2018-05-15,8-K,arrears break bridge claims closing collapse cut deter disclaim disclaims fined ill lapse late lie losing lying poses sue sued taint threat,anticipate anticipated anticipates approximate approximately could differ hidden may revise revised risk risks uncertain uncertainties,able best easier exceptional satisfy superior unparalleled win
30,0001086222-18-000117,AKAMAI,20180522,2018-05-22,8-K,absence accident accidents acquiesce adverse adversely against annul annulment arrears bad bankrupt bankruptcy breach break bridge cancel canceled cancellation cancellations cancelled catastrophe catastrophes cease ceased ceases ceasing challenge challenged claims closed closing closure collapse concern concerns conflict contrary controversy cut damage damages default defect defend defending deficit delay denied depress destroy destroyed destruction deter diminish disclose disclosing discontinue discontinued dismiss dismissed dispose dispute disregard disregarded dissolution disturb disturbance disturbances doubt easing erred erring error evade expose fail fails failure fault faulted faults fined force forced forego forfeit forfeited fraud fraudulent grossly harm hinder hindrance ill illegal illegality impair impaired impede impracticable impractical incapable inconsistency inconsistent inconvenient incorrect injunction inquiry insolvency insolvent insufficient intentional interrupt interruption interruptions invalid investigate investigating investigation involuntary lapse lapsed late laundering lie limitation limitations liquidate liquidated liquidation liquidator litigant lose losing loss losses lost lying malfunction malfunctions manipulate misconduct mismatch mismatches miss missed moratorium negative neglect neglected negligence negligent nonpayment objection omission omissions omit omits omitted omitting overdue penalty plaintiff plea plead pled poses posing postpone postponed postponement preclude prejudice prejudicial prosecute punitive purport purported question quit refuse refused renegotiate reparation resign resignation resigning revoke sever solvency stolen stoppage stoppages sue sued sues suffer suing suspension terminate terminated termination terminations threat threaten threatened unable unavailable unduly unpaid unreasonable unreasonably unrest unwilling usury violate violation volatility,alteration ambiguity apparent appear appearing appears approximate approximately assume assumed assumes assuming assumption assumptions believe believed believes conditional conditionally contingency contingent could depend dependent differ doubt exposure hidden likelihood may might nearly pending possible preliminary revise revised risk risks variable variation variations volatility,able advances advantage beneficial beneficially benefit best better conclusive conclusively confident constructive constructively desirable despite effective empower empowered enable exclusive exclusively gain gains good great greater satisfaction satisfactory satisfied satisfies satisfy succeed succeeding success win
31,0001266432-13-000096,AKAMAI,20131023,2013-10-23,8-K,break bridge claims collapse conciliation cut defer delay deter difficult disclaim disclaims discontinue divest divestiture divestitures doubt doubtful easing erred fail failure force ill inability lack lapse late lie loss losses lying miss plea pleas pled poses preclude precluded quit restructuring sue sued suspend,anticipate anticipates approximate approximately assumption assumptions believe believes contingent differ doubt doubtful hidden intangible may might unusual varies vary varying,able benefit better effective efficiency enable enabled enabling gain gains great greater innovation innovative leading opportunities satisfy strong unmatched win
32,0001086222-19-000032,AKAMAI,20190213,2019-02-13,8-K,break bridge closure collapse cut fined lapse lie lying miss,assume assumed hidden revise revised,able effective satisfy win
33,0001266432-13-000121,AKAMAI,20131202,2013-12-02,8-K,absence absenteeism accident accidental adverse adversely against allege alleged alleging annul annulled antitrust arrears bad bankrupt bankruptcy barred boycott breach breached breaches break bridge cancel cancellation cancelled cease challenge challenges claiming claims closed closing closure closures collapse collusive complain complaint complaints concern concerns conflict conflicting conflicts contrary controversy correction counterclaim counterclaims crime criminal culpability cut damage damages danger debarment debarred default defeat defect defects defend defer deficiencies deficiency delay delayed delays denial denied deny destroy destroyed deter diminution disadvantage disagree disagreed disagrees disaster disasters disclose disclosed discloses disclosing dispose disproportion disproportionate disproportionately dispute disputed disputes disqualified disregard disregarded disrupt disruptive dissent dissenter dissenters dissolution doubt drag duress easing encumber encumbered encumbrance encumbrances endanger endangered erred erroneous error errors excessive exculpatory fail failed failure failures fault fined fines force forced forego forfeit forfeited forfeiture fraud fraudulent grievance grievances hamper harm hazard hazardous ill illegal impair impairing improper inaccuracies inaccuracy inaccurate inaction inactions inadequate incapable incapacity incident incomplete inconsistency inconsistent inconvenient incorrect infringe infringement infringes infringing injunction injunctions inquiry insolvency insufficient interfere interference interferences interrupt interruption invalid invalidity investigate investigated investigation investigations involuntarily irregular irregularities irreparable knowingly lapse late layoff lie limitation limitations liquidate liquidated liquidation litigation lockout lockouts lose loses losing loss losses lost lying malicious misappropriating misappropriation misclassification misconduct mislead misleading misrepresent misrepresentation miss mistake misunderstand misunderstanding misuse monopolization moratorium negative negligence noncompliance objection objections offend offending omission omissions omit omits omitted opposition overage overpayment penalties penalty perjury persist persistent plea plead pleading pleas pled poses preclude prejudice pressing preventing protest protests purport purported purporting purports question questioned questions quit recall refusal refuse reparation resign resignation resignations resigned resigns restate restated revocation revoke revoked sabotage serious sever shortfall solvency stolen strain sue sued sues suffer suffered summons suspend suspended suspension terminate terminated terminates terminating termination terminations threat threaten threatened threats unable unauthorized uncollected unconscionable understate understatement undisclosed undue unemployment unfair unliquidated unnecessary unpaid unreasonable unreasonably unresolved violate violates violating violation violations worse worsen worsening wrong wrongful wrongfully,alteration apparent appear appears approximate approximately assume assumed assumes assuming assumption assumptions believe believed believes believing conditional conditionally contingent contingently could depend dependent differ differed doubt exposure hidden intangible likelihood may might nonassessable pending possible preliminary recalculate recalculated recalculation reexamination revise revised risk sometime sometimes tending uncertain unknown unwritten vague vaguely variable variance variances,able advances advantage beneficial beneficially benefit best conclusive conclusively confident easily effective efficient efficiently exclusive exclusively favorable favored gain gaining gains good great greater improve improvement improvements invent invention inventions inventor inventors leading opportunity perfect perfected pleased progress resolve satisfaction satisfactory satisfied satisfies satisfy succeed succeeding success successful successfully valuable win
34,0001266432-12-000005,AKAMAI,20120124,2012-01-24,8-K,break bridge closing collapse critical cut deter forego ill lack lapse late lie losing lying miss quit termination,hidden,able achieve achieved achievement achieves effective satisfy win
35,0001086222-17-000239,AKAMAI,20171024,2017-10-24,8-K,break bridge claims collapse conciliation cut defer delay difficult disclaim disclaims disgorge disgorgement divest divestiture easing erred fail failure fined force ill inability investigation lack lapse late lie loss losses lying miss negative negatively plea pleas poses quit restructuring sue sued threat weak weaken,anticipate anticipates approximate approximately assumption assumptions believe believes contingent differ differs fluctuation fluctuations hidden intangible may revise revised unusual varies vary varying,able achieve achievement benefit best easier enable enhance enhances exceptional gain gains great greater innovation profitability resolve satisfy strong superior unparalleled win
36,0001266432-13-000086,AKAMAI,20130624,2013-06-24,8-K,break bridge closure collapse critical cut easing force ill lapse lie miss plea pleas pled sever,believe hidden,able benefit benefiting effective enabling enthusiastic honor honored innovation innovative leadership leading progress satisfy success unmatched valuable win winning
37,0001193125-09-118374,AKAMAI,20090526,2009-05-26,8-K,absenteeism adverse against breach break bridge cancel cancelled cease ceases claiming claims closed closing closure conflict conflicts contrary crime cut damage damages defer deter dishonest dishonesty dispose dissolution encumber encumbered erred excessive fail fails failure fined force forced forego forfeit forfeited forfeiture fraud harm ill impair inconsistency invalid invalidity lapse lapsed late lie limitation liquidation lose losing loss losses lying misconduct miss negative negligence negligent nondisclosure omission omit omitted pled poses quit refusal resign resignation restructuring serious sever sue sued suing terminate terminated termination terminations unfunded unsatisfactory violate violates violation violations,ambiguity contingent differ intangible may,able achieve achieved achievement achieves benefit conclusive confident desirable effective enable gain gains good satisfaction satisfactory satisfied satisfy succeed succeeding success valuable win
38,0001086222-16-000282,AKAMAI,20160426,2016-04-26,8-K,break bridge claims collapse conciliation cut defer delay difficult disclaim disclaims divest divestiture easing erred fail failure force ill impair impairment inability investigation lack lapse late lie loss losses lying miss negative negatively plea pleas poses quit restructuring sue sued weak weaken,anticipate anticipates approximate approximately assumption assumptions believe believes contingent differ differs fluctuation fluctuations hidden intangible may unusual varies vary varying,able benefit enable enhance enhances gain gains great greater revolutionizing satisfy strong win
39,0001086222-18-000107,AKAMAI,20180517,2018-05-17,8-K,arrears break bridge claims closing collapse cut disclaim disclaims fined ill lapse late lie lose losing lying poses sue sued taint threat,anticipate anticipated anticipates approximate approximately could differ hidden may revise revised risk risks uncertain uncertainties,able best easier exceptional satisfy superior unparalleled win
40,0001193125-09-010488,AKAMAI,20090123,2009-01-23,8-K,against break bridge challenging closing cut deter fail fails forego ill lack late lie losing lying miss quit sue sued,contingent may,able achieve achieved achievement effective gain gains satisfy success win
41,0001086222-17-000012,AKAMAI,20170203,2017-02-03,8-K,against break bridge closing collapse cut deter ill lapse late lie losing miss quit sue sued,fluctuation fluctuations hidden,able achieve achievement effective gain gains satisfy win
42,0001193125-10-020771,AKAMAI,20100203,2010-02-03,8-K,break bridge challenging claims closed concern conciliation cut defer delay disclaim disclaims disclose disclosed discourage disrupt divest doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss plea pleas poses quit restructuring sue sued unauthorized unexpected,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may unexpected vary,able benefit better collaborate gain gaining gains good improve improved leading pleased satisfy strength strong succeed win
43,0001086222-18-000073,AKAMAI,20180409,2018-04-09,8-K,break bridge closure collapse cut fined lapse lie lying miss poses restate restated,hidden revise revised,able satisfy win
44,0001086222-18-000065,AKAMAI,20180328,2018-03-28,8-K,break bridge collapse cut fined ill lapse lie lying miss,hidden revise revised,able effective satisfy succeed win
45,0001193125-12-182039,AKAMAI,20120425,2012-04-25,8-K,break bridge challenging claims closed closing conciliation cut defer delay deter disclaim disclaims disclose disclosed discontinue discourage doubt doubtful easing erred fail failure fines ill inability lack late lie limitation limitations lose losing loss losses miss plea pleas pled poses preclude precluded quit restructuring sue sued suspend,anticipate anticipates approximate approximately believe contingencies could differ doubt doubtful intangible may might vary,able benefit better effective enabling gain gaining gains good great greater innovation leading pleased positive positively satisfy strength success unmatched win
46,0001193125-10-011009,AKAMAI,20100122,2010-01-22,8-K,against break bridge challenging closing cut deter fail fails forego ill lack late lie losing lying miss quit resign resignation resigning,may,able achieve achieved achievement effective gain gains satisfy success win
47,0001193125-09-091977,AKAMAI,20090429,2009-04-29,8-K,break bridge challenging claims closed concern conciliation cut defer delay deter disclaim disclaims disclose disclosed discontinue discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss plea pleas poses preclude precluded quit restructuring sever sue sued suspend unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may might roughly vary,able advantage advantages attractive benefit better collaborate gain gaining gains good improve improvement leading pleased positive satisfy strength strong succeed tremendous win
